Renewals export — generated from PSA;;;;;;;;;;;

Client Name;Manufacturer;Item Description;Part No;Qty;Cost Price;Sell Price;Start Date;Expiry Date;Term;Order Ref;Account Manager
Brackenfield Academy Trust;HP;HP Care Pack 3Y Next Business Day;U9BA7E;15;£64.00;£95.00;08/11/2023;08/11/2026;36 months;SO-11038;M. Kowalski
Cobalt Interiors Ltd;HP;HP Care Pack 3Y Next Business Day;U9BA7E;13;64,00;95,00;01/11/2023;01/11/2026;36 months;SO-11039;J. Patel
Northgate Legal LLP;Microsoft;Microsoft 365 Business Premium;CFQ7TTC0LCHC;27;£18.90;£21.60;28/11/2025;28/11/2026;12 months;SO-11040;S. O'Brien
Peregrine Logistics;Microsoft;Exchange Online Plan 1;CFQ7TTC0LH16;18;3.10;£3.80;02/07/2026;02/07/2027;12 months;SO-11041;M. Kowalski
Halloway Dental Group;Datto;Datto SIRIS 2 Cloud Backup;DTO-SIRIS2;4;£52.00;£74.00;02/07/2026;02/07/2027;12 months;SO-11042;J. Patel
Peregrine Logistics;HP;HP Care Pack 3Y Next Business Day;U9BA7E;12;64,00;95,00;18/03/2024;19/03/2027;36 months;SO-11043;S. O'Brien
Oakvale Foods;Veeam;Veeam Backup Essentials;V-ESSVUL-0I;1;£320.00;£410.00;13/03/2026;13/03/2027;12 months;SO-11044;M. Kowalski
Northgate Legal LLP;Microsoft;Exchange Online Plan 1;CFQ7TTC0LH16;28;3.10;£3.80;13/11/2025;13/11/2026;12 months;SO-11045;J. Patel
Peregrine Logistics;Mimecast;Mimecast Email Security M2;MC-M2-SEC;9;£26.40;£34.00;16/12/2025;16/12/2026;12 months;SO-11046;S. O'Brien
Oakvale Foods;Datto;Datto SIRIS 2 Cloud Backup;DTO-SIRIS2;4;52,00;74,00;17/04/2026;17/04/2027;12 months;SO-11047;M. Kowalski
Marchmont Housing;Microsoft;Exchange Online Plan 1;CFQ7TTC0LH16;2;£3.10;£3.80;29/03/2026;29/03/2027;12 months;SO-11048;J. Patel
Ashcombe Care Homes;HP;HP Care Pack 3Y Next Business Day;U9BA7E;5;64.00;£95.00;10/04/2024;11/04/2027;36 months;SO-11049;S. O'Brien
Ashcombe Care Homes;Microsoft;Exchange Online Plan 1;CFQ7TTC0LH16;11;£3.10;£3.80;18/08/2025;18/08/2026;12 months;SO-11050;M. Kowalski
Oakvale Foods;Mimecast;Mimecast Email Security M2;MC-M2-SEC;11;26,40;34,00;27/11/2025;27/11/2026;12 months;SO-11051;J. Patel
Peregrine Logistics;Adobe;Adobe Acrobat Pro for teams;65297934BA01A12;7;£145.00;£189.00;07/05/2026;07/05/2027;12 months;SO-11052;S. O'Brien
Whitfield Engineering;Microsoft;Exchange Online Plan 1;CFQ7TTC0LH16;9;3.10;£3.80;06/09/2025;06/09/2026;12 months;SO-11053;M. Kowalski
Marchmont Housing;Sophos;Sophos Intercept X Advanced;CIXE1CSAA;6;£28.00;£36.50;28/11/2025;28/11/2026;12 months;SO-11054;J. Patel
Peregrine Logistics;HP;HP Care Pack 3Y Next Business Day;U9BA7E;5;64,00;95,00;23/03/2024;24/03/2027;36 months;SO-11055;S. O'Brien
Verity Print & Packaging;Sophos;Sophos Intercept X Advanced;CIXE1CSAA;64;£28.00;£36.50;07/12/2025;07/12/2026;12 months;SO-11056;M. Kowalski
Cobalt Interiors Ltd;Dell;ProSupport Plus 3Y — OptiPlex 7010;PSP-3Y-7010;2;89.00;£129.00;14/03/2024;15/03/2027;36 months;SO-11057;J. Patel
Marchmont Housing;Datto;Datto SIRIS 2 Cloud Backup;DTO-SIRIS2;4;£52.00;£74.00;10/08/2025;10/08/2026;12 months;SO-11058;S. O'Brien
Cobalt Interiors Ltd;Sophos;Sophos XGS 2100 FullGuard;XF2C1CSAA;1;1180,00;1495,00;23/11/2025;23/11/2026;12 months;SO-11059;M. Kowalski
Oakvale Foods;Fortinet;FortiGate 60F UTP Bundle;FC-10-0060F;2;£620.00;£795.00;23/02/2025;24/02/2027;24 months;SO-11060;J. Patel
Stanton & Mills Accountants;Adobe;Adobe Acrobat Pro for teams;65297934BA01A12;3;145.00;£189.00;11/01/2026;11/01/2027;12 months;SO-11061;S. O'Brien
Marchmont Housing;Microsoft;Microsoft 365 Business Premium;CFQ7TTC0LCHC;22;£18.90;£21.60;05/09/2025;05/09/2026;12 months;SO-11062;M. Kowalski
Oakvale Foods;Datto;Datto SIRIS 2 Cloud Backup;DTO-SIRIS2;2;52,00;74,00;04/06/2026;04/06/2027;12 months;SO-11063;J. Patel
Ferndale Clinic;Microsoft;Microsoft 365 Business Standard;CFQ7TTC0LDPB;12;£120.00;£150.00;;TBC;12 months;SO-11099;J. Patel
Ferndale Clinic;Sophos;Sophos Email Advanced;SEAD1CSAA;12;£96.00;£130.00;;see contract;;SO-11100;J. Patel
